"","Player","Pos.x","Age.x","Tm.x","G.x","GS","MP.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Pos.y","Age.y","Tm.y","G.y","MP.y","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X","OWS","DWS","WS","WS.48","X.1","OBPM","DBPM","BPM","VORP"
"1","Álex Abrines\abrinal01","SG",23,"OKC",68,6,15.5,2,5,0.393,1.4,3.6,0.381,0.6,1.4,0.426,0.531,0.6,0.7,0.898,0.3,1,1.3,0.6,0.5,0.1,0.5,1.7,6,"SG",23,"OKC",68,1055,10.1,0.56,0.724,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,NA,1.2,0.9,2.1,0.096,NA,-0.3,-2.2,-2.5,-0.1
"2","Quincy Acy\acyqu01","PF",26,"TOT",38,1,14.7,1.8,4.5,0.412,1,2.4,0.411,0.9,2.1,0.413,0.521,1.2,1.6,0.75,0.5,2.5,3,0.5,0.4,0.4,0.6,1.8,5.8,"PF",26,"TOT",38,558,11.8,0.565,0.529,0.353,3.9,18,11,4.9,1.2,2,9.7,16.8,NA,0.5,0.5,0.9,0.082,NA,-1.8,-1.2,-3,-0.1
"3","Quincy Acy\acyqu01","PF",26,"TOT",38,1,14.7,1.8,4.5,0.412,1,2.4,0.411,0.9,2.1,0.413,0.521,1.2,1.6,0.75,0.5,2.5,3,0.5,0.4,0.4,0.6,1.8,5.8,"PF",26,"DAL",6,48,-1.4,0.355,0.412,0.176,4.6,15.2,9.7,0,0,0,9.8,20,NA,-0.2,0,-0.1,-0.133,NA,-10.1,-6,-16.2,-0.2
"4","Quincy Acy\acyqu01","PF",26,"TOT",38,1,14.7,1.8,4.5,0.412,1,2.4,0.411,0.9,2.1,0.413,0.521,1.2,1.6,0.75,0.5,2.5,3,0.5,0.4,0.4,0.6,1.8,5.8,"PF",26,"BRK",32,510,13.1,0.587,0.542,0.373,3.8,18.2,11.1,5.4,1.3,2.2,9.6,16.5,NA,0.6,0.5,1.1,0.102,NA,-1.1,-0.7,-1.8,0
"5","Quincy Acy\acyqu01","PF",26,"DAL",6,0,8,0.8,2.8,0.294,0.2,1.2,0.143,0.7,1.7,0.4,0.324,0.3,0.5,0.667,0.3,1,1.3,0,0,0,0.3,1.5,2.2,"PF",26,"TOT",38,558,11.8,0.565,0.529,0.353,3.9,18,11,4.9,1.2,2,9.7,16.8,NA,0.5,0.5,0.9,0.082,NA,-1.8,-1.2,-3,-0.1
"6","Quincy Acy\acyqu01","PF",26,"DAL",6,0,8,0.8,2.8,0.294,0.2,1.2,0.143,0.7,1.7,0.4,0.324,0.3,0.5,0.667,0.3,1,1.3,0,0,0,0.3,1.5,2.2,"PF",26,"DAL",6,48,-1.4,0.355,0.412,0.176,4.6,15.2,9.7,0,0,0,9.8,20,NA,-0.2,0,-0.1,-0.133,NA,-10.1,-6,-16.2,-0.2
"7","Quincy Acy\acyqu01","PF",26,"DAL",6,0,8,0.8,2.8,0.294,0.2,1.2,0.143,0.7,1.7,0.4,0.324,0.3,0.5,0.667,0.3,1,1.3,0,0,0,0.3,1.5,2.2,"PF",26,"BRK",32,510,13.1,0.587,0.542,0.373,3.8,18.2,11.1,5.4,1.3,2.2,9.6,16.5,NA,0.6,0.5,1.1,0.102,NA,-1.1,-0.7,-1.8,0
"8","Quincy Acy\acyqu01","PF",26,"BRK",32,1,15.9,2,4.8,0.425,1.1,2.6,0.434,0.9,2.2,0.414,0.542,1.3,1.8,0.754,0.6,2.8,3.3,0.6,0.4,0.5,0.6,1.8,6.5,"PF",26,"TOT",38,558,11.8,0.565,0.529,0.353,3.9,18,11,4.9,1.2,2,9.7,16.8,NA,0.5,0.5,0.9,0.082,NA,-1.8,-1.2,-3,-0.1
"9","Quincy Acy\acyqu01","PF",26,"BRK",32,1,15.9,2,4.8,0.425,1.1,2.6,0.434,0.9,2.2,0.414,0.542,1.3,1.8,0.754,0.6,2.8,3.3,0.6,0.4,0.5,0.6,1.8,6.5,"PF",26,"DAL",6,48,-1.4,0.355,0.412,0.176,4.6,15.2,9.7,0,0,0,9.8,20,NA,-0.2,0,-0.1,-0.133,NA,-10.1,-6,-16.2,-0.2
"10","Quincy Acy\acyqu01","PF",26,"BRK",32,1,15.9,2,4.8,0.425,1.1,2.6,0.434,0.9,2.2,0.414,0.542,1.3,1.8,0.754,0.6,2.8,3.3,0.6,0.4,0.5,0.6,1.8,6.5,"PF",26,"BRK",32,510,13.1,0.587,0.542,0.373,3.8,18.2,11.1,5.4,1.3,2.2,9.6,16.5,NA,0.6,0.5,1.1,0.102,NA,-1.1,-0.7,-1.8,0
"11","Steven Adams\adamsst01","C",23,"OKC",80,80,29.9,4.7,8.2,0.571,0,0,0,4.7,8.2,0.572,0.571,2,3.2,0.611,3.5,4.2,7.7,1.1,1.1,1,1.8,2.4,11.3,"C",23,"OKC",80,2389,16.5,0.589,0.002,0.392,13,15.4,14.2,5.4,1.8,2.6,16,16.2,NA,3.3,3.1,6.5,0.13,NA,-0.7,1.2,0.6,1.5
"12","Arron Afflalo\afflaar01","SG",31,"SAC",61,45,25.9,3,6.9,0.44,1,2.5,0.411,2,4.4,0.457,0.514,1.4,1.5,0.892,0.1,1.9,2,1.3,0.3,0.1,0.7,1.7,8.4,"SG",31,"SAC",61,1580,8.9,0.559,0.36,0.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,NA,1.2,0.2,1.4,0.043,NA,-1.4,-2.1,-3.5,-0.6
"13","Alexis Ajinça\ajincal01","C",28,"NOP",39,15,15,2.3,4.6,0.5,0,0.1,0,2.3,4.5,0.511,0.5,0.7,1,0.725,1.2,3.4,4.5,0.3,0.5,0.6,0.8,2,5.3,"C",28,"NOP",39,584,12.9,0.529,0.022,0.225,8.3,23.8,16,3.1,1.7,3.1,13.7,17.2,NA,0,0.9,1,0.08,NA,-5.1,1,-4.1,-0.3
"14","Cole Aldrich\aldrico01","C",28,"MIN",62,0,8.6,0.7,1.4,0.523,0,0,NA,0.7,1.4,0.523,0.523,0.2,0.4,0.682,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7,"C",28,"MIN",62,531,12.7,0.549,0,0.256,11,23.9,17.4,6.4,2.4,3.7,15.1,9.4,NA,0.6,0.7,1.3,0.116,NA,-2,2.6,0.6,0.4
"15","LaMarcus Aldridge\aldrila01","PF",31,"SAS",72,72,32.4,6.9,14.6,0.477,0.3,0.8,0.411,6.6,13.8,0.48,0.488,3.1,3.8,0.812,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,17.3,"PF",31,"SAS",72,2335,18.6,0.532,0.053,0.258,8.5,16.6,12.7,9.9,1,3,7.7,24.5,NA,3.5,3.7,7.2,0.149,NA,-0.3,1.3,1,1.8
"16","Lavoy Allen\allenla01","PF",27,"IND",61,5,14.3,1.3,2.8,0.458,0,0,0,1.3,2.7,0.461,0.458,0.4,0.5,0.697,1.7,1.9,3.6,0.9,0.3,0.4,0.5,1.3,2.9,"PF",27,"IND",61,871,11.6,0.485,0.006,0.196,13.7,14.5,14.1,9.1,1,2.4,13.7,10.9,NA,0.9,0.8,1.7,0.093,NA,-1.5,1.3,-0.3,0.4
"17","Tony Allen\allento01","SG",35,"MEM",71,66,27,3.9,8.4,0.461,0.2,0.8,0.278,3.6,7.6,0.479,0.473,1.1,1.8,0.615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,9.1,"SG",35,"MEM",71,1914,13.3,0.493,0.091,0.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,NA,0.2,2.9,3.1,0.077,NA,-1.8,2.4,0.6,1.3
"18","Al-Farouq Aminu\aminual01","PF",26,"POR",61,25,29.1,3,7.6,0.393,1.1,3.5,0.33,1.9,4.2,0.445,0.468,1.6,2.2,0.706,1.3,6.1,7.4,1.6,1,0.7,1.5,1.7,8.7,"PF",26,"POR",61,1773,11.3,0.506,0.455,0.292,4.8,23.5,14.1,7.9,1.7,2,15.2,15.4,NA,-0.1,2,1.9,0.051,NA,-2.3,1.2,-1.1,0.4
"19","Chris Andersen\anderch01","C",38,"CLE",12,0,9.5,0.8,1.8,0.409,0,0.3,0,0.8,1.6,0.474,0.409,0.8,1.2,0.714,0.8,1.8,2.6,0.4,0.4,0.6,0.4,1.7,2.3,"C",38,"CLE",12,114,11.6,0.497,0.136,0.636,9,20.6,15,5.9,2.2,5,15.1,13,NA,0.1,0.2,0.2,0.102,NA,-3.8,3,-0.9,0
"20","Alan Anderson\anderal01","SF",34,"LAC",30,0,10.3,1,2.7,0.375,0.5,1.5,0.318,0.5,1.2,0.444,0.463,0.4,0.5,0.75,0.1,0.7,0.8,0.4,0.1,0,0.2,1.2,2.9,"SF",34,"LAC",30,308,5,0.494,0.55,0.2,1.1,7.4,4.4,4.9,0.5,0,7.4,13.7,NA,0,0.1,0.1,0.02,NA,-2.6,-2.3,-4.9,-0.2
"21","Justin Anderson\anderju01","SF",23,"TOT",75,10,16.4,2.5,5.9,0.424,0.8,2.6,0.299,1.7,3.3,0.522,0.49,1.4,1.7,0.791,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1,"SF",23,"TOT",75,1228,13.9,0.537,0.442,0.294,6.2,16.9,11.4,8.8,1.7,1.6,11.7,20.9,NA,0.6,1.3,1.9,0.074,NA,-1.2,-0.3,-1.6,0.1
"22","Justin Anderson\anderju01","SF",23,"TOT",75,10,16.4,2.5,5.9,0.424,0.8,2.6,0.299,1.7,3.3,0.522,0.49,1.4,1.7,0.791,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1,"SF",23,"DAL",51,710,14.7,0.521,0.44,0.318,6.1,18.9,12.2,7.6,2.1,2,11.2,23.6,NA,0.1,0.9,1,0.067,NA,-1.8,-0.1,-2,0
"23","Justin Anderson\anderju01","SF",23,"TOT",75,10,16.4,2.5,5.9,0.424,0.8,2.6,0.299,1.7,3.3,0.522,0.49,1.4,1.7,0.791,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1,"SF",23,"PHI",24,518,12.8,0.564,0.444,0.253,6.4,14.1,10.2,10.4,1.2,1.1,12.6,17.2,NA,0.5,0.4,0.9,0.084,NA,-0.4,-0.6,-1,0.1
"24","Justin Anderson\anderju01","SF",23,"DAL",51,2,13.9,2.2,5.4,0.401,0.7,2.4,0.303,1.5,3,0.477,0.468,1.4,1.7,0.795,0.8,2.2,2.9,0.6,0.5,0.3,0.8,1.3,6.5,"SF",23,"TOT",75,1228,13.9,0.537,0.442,0.294,6.2,16.9,11.4,8.8,1.7,1.6,11.7,20.9,NA,0.6,1.3,1.9,0.074,NA,-1.2,-0.3,-1.6,0.1
